kafka-1  | 2026-07-31T04:53:49.538956787Z ===> User
kafka-1  | 2026-07-31T04:53:49.551827413Z uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
kafka-1  | 2026-07-31T04:53:49.552332124Z ===> Setting default values of environment variables if not already set.
kafka-1  | 2026-07-31T04:53:49.553104989Z ===> Configuring ...
kafka-1  | 2026-07-31T04:53:49.553587473Z Running in KRaft mode...
kafka-1  | 2026-07-31T04:53:49.555339910Z ===> Launching ... 
kafka-1  | 2026-07-31T04:53:49.559389228Z ===> Using provided cluster id MkU3OEVBNTcwNTJENDM2Qk ...
kafka-1  | 2026-07-31T04:53:52.027366677Z [2026-07-31 04:53:52,026] INFO Registered kafka:type=kafka.Log4jController MBean (kafka.utils.Log4jControllerRegistration$)
kafka-1  | 2026-07-31T04:53:52.076678864Z [2026-07-31 04:53:52,076] INFO Setting -D jdk.tls.rejectClientInitiatedRenegotiation=true to disable client-initiated TLS renegotiation (org.apache.zookeeper.common.X509Util)
kafka-1  | 2026-07-31T04:53:52.164659003Z [2026-07-31 04:53:52,164] INFO Registered signal handlers for TERM, INT, HUP (org.apache.kafka.common.utils.LoggingSignalHandler)
kafka-1  | 2026-07-31T04:53:52.166245880Z [2026-07-31 04:53:52,165] INFO [ControllerServer id=1] Starting controller (kafka.server.ControllerServer)
kafka-1  | 2026-07-31T04:53:52.329947355Z [2026-07-31 04:53:52,329] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka-1  | 2026-07-31T04:53:52.346518779Z [2026-07-31 04:53:52,346] INFO [SocketServer listenerType=CONTROLLER, nodeId=1] Created data-plane acceptor and processors for endpoint : ListenerName(CONTROLLER) (kafka.network.SocketServer)
kafka-1  | 2026-07-31T04:53:52.348524918Z [2026-07-31 04:53:52,348] INFO CONTROLLER: resolved wildcard host to a9e9a88f3da7 (org.apache.kafka.metadata.ListenerInfo)
kafka-1  | 2026-07-31T04:53:52.351114207Z [2026-07-31 04:53:52,350] INFO authorizerStart completed for endpoint CONTROLLER. Endpoint is now READY. (org.apache.kafka.server.network.EndpointReadyFutures)
kafka-1  | 2026-07-31T04:53:52.352088755Z [2026-07-31 04:53:52,351] INFO [SharedServer id=1] Starting SharedServer (kafka.server.SharedServer)
kafka-1  | 2026-07-31T04:53:52.401091473Z [2026-07-31 04:53:52,400] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Loading producer state till offset 0 with message format version 2 (kafka.log.UnifiedLog$)
kafka-1  | 2026-07-31T04:53:52.401455528Z [2026-07-31 04:53:52,401] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Reloading from producer snapshot and rebuilding producer state from offset 0 (kafka.log.UnifiedLog$)
kafka-1  | 2026-07-31T04:53:52.401566062Z [2026-07-31 04:53:52,401] INFO [LogLoader partition=__cluster_metadata-0, dir=/tmp/kafka-logs] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 0 (kafka.log.UnifiedLog$)
kafka-1  | 2026-07-31T04:53:52.412762562Z [2026-07-31 04:53:52,412] INFO Initialized snapshots with IDs SortedSet() from /tmp/kafka-logs/__cluster_metadata-0 (kafka.raft.KafkaMetadataLog$)
kafka-1  | 2026-07-31T04:53:52.421000623Z [2026-07-31 04:53:52,420] INFO [raft-expiration-reaper]: Starting (kafka.raft.TimingWheelExpirationService$ExpiredOperationReaper)
kafka-1  | 2026-07-31T04:53:52.423049276Z [2026-07-31 04:53:52,422] INFO [RaftManager id=1] Reading KRaft snapshot and log as part of the initialization (org.apache.kafka.raft.KafkaRaftClient)
kafka-1  | 2026-07-31T04:53:52.424660938Z [2026-07-31 04:53:52,424] INFO [RaftManager id=1] Starting voters are VoterSet(voters={1=VoterNode(voterKey=ReplicaKey(id=1, directoryId=Optional.empty), listeners=Endpoints(endpoints={ListenerName(CONTROLLER)=kafka/172.18.0.4:9093}), supportedKRaftVersion=SupportedVersionRange[min_version:0, max_version:0])}) (org.apache.kafka.raft.KafkaRaftClient)
kafka-1  | 2026-07-31T04:53:52.424913823Z [2026-07-31 04:53:52,424] INFO [RaftManager id=1] Starting request manager with static voters: [kafka:9093 (id: 1 rack: null)] (org.apache.kafka.raft.KafkaRaftClient)
kafka-1  | 2026-07-31T04:53:52.427017347Z [2026-07-31 04:53:52,426] INFO [RaftManager id=1] Attempting durable transition to Unattached(epoch=0, votedKey=null, voters=[1], electionTimeoutMs=1933, highWatermark=Optional.empty) from null (org.apache.kafka.raft.QuorumState)
kafka-1  | 2026-07-31T04:53:52.456076473Z [2026-07-31 04:53:52,455] INFO [RaftManager id=1] Completed transition to Unattached(epoch=0, votedKey=null, voters=[1], electionTimeoutMs=1933, highWatermark=Optional.empty) from null (org.apache.kafka.raft.QuorumState)
kafka-1  | 2026-07-31T04:53:52.457892582Z [2026-07-31 04:53:52,457] INFO [RaftManager id=1] Attempting durable transition to CandidateState(localId=1, localDirectoryId=elFBDbrbQ_fXWT5PjxBeAg,epoch=1, retries=1, voteStates={1=org.apache.kafka.raft.CandidateState$VoterState@5bf0d49}, highWatermark=Optional.empty, electionTimeoutMs=1389) from Unattached(epoch=0, votedKey=null, voters=[1], electionTimeoutMs=1933, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
kafka-1  | 2026-07-31T04:53:52.471839733Z [2026-07-31 04:53:52,471] INFO [RaftManager id=1] Completed transition to CandidateState(localId=1, localDirectoryId=elFBDbrbQ_fXWT5PjxBeAg,epoch=1, retries=1, voteStates={1=org.apache.kafka.raft.CandidateState$VoterState@5bf0d49}, highWatermark=Optional.empty, electionTimeoutMs=1389) from Unattached(epoch=0, votedKey=null, voters=[1], electionTimeoutMs=1933, highWatermark=Optional.empty) (org.apache.kafka.raft.QuorumState)
kafka-1  | 2026-07-31T04:53:52.474022725Z [2026-07-31 04:53:52,473] INFO [RaftManager id=1] Attempting durable transition to Leader(localReplicaKey=ReplicaKey(id=1, directoryId=Optional[elFBDbrbQ_fXWT5PjxBeAg]), epoch=1, epochStartOffset=0, highWatermark=Optional.empty, voterStates={1=ReplicaState(replicaKey=ReplicaKey(id=1, directoryId=Optional.empty), endOffset=Optional.empty, lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)}) from CandidateState(localId=1, localDirectoryId=elFBDbrbQ_fXWT5PjxBeAg,epoch=1, retries=1, voteStates={1=org.apache.kafka.raft.CandidateState$VoterState@5bf0d49}, highWatermark=Optional.empty, electionTimeoutMs=1389) (org.apache.kafka.raft.QuorumState)
kafka-1  | 2026-07-31T04:53:52.488687210Z [2026-07-31 04:53:52,488] INFO [RaftManager id=1] Completed transition to Leader(localReplicaKey=ReplicaKey(id=1, directoryId=Optional[elFBDbrbQ_fXWT5PjxBeAg]), epoch=1, epochStartOffset=0, highWatermark=Optional.empty, voterStates={1=ReplicaState(replicaKey=ReplicaKey(id=1, directoryId=Optional.empty), endOffset=Optional.empty, lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)}) from CandidateState(localId=1, localDirectoryId=elFBDbrbQ_fXWT5PjxBeAg,epoch=1, retries=1, voteStates={1=org.apache.kafka.raft.CandidateState$VoterState@5bf0d49}, highWatermark=Optional.empty, electionTimeoutMs=1389) (org.apache.kafka.raft.QuorumState)
kafka-1  | 2026-07-31T04:53:52.519114729Z [2026-07-31 04:53:52,518] INFO [kafka-1-raft-outbound-request-thread]: Starting (org.apache.kafka.raft.KafkaNetworkChannel$SendThread)
kafka-1  | 2026-07-31T04:53:52.519490662Z [2026-07-31 04:53:52,519] INFO [kafka-1-raft-io-thread]: Starting (org.apache.kafka.raft.KafkaRaftClientDriver)
kafka-1  | 2026-07-31T04:53:52.528922931Z [2026-07-31 04:53:52,528] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | 2026-07-31T04:53:52.529479591Z [2026-07-31 04:53:52,529] INFO [ControllerServer id=1] Waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka-1  | 2026-07-31T04:53:52.529590094Z [2026-07-31 04:53:52,529] INFO [ControllerServer id=1] Finished waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka-1  | 2026-07-31T04:53:52.533320756Z [2026-07-31 04:53:52,532] INFO [RaftManager id=1] High watermark set to LogOffsetMetadata(offset=1, metadata=Optional[(segmentBaseOffset=0,relativePositionInSegment=91)]) for the first time for epoch 1 based on indexOfHw 0 and voters [ReplicaState(replicaKey=ReplicaKey(id=1, directoryId=Optional.empty), endOffset=Optional[LogOffsetMetadata(offset=1, metadata=Optional[(segmentBaseOffset=0,relativePositionInSegment=91)])], lastFetchTimestamp=-1, lastCaughtUpTimestamp=-1, hasAcknowledgedLeader=true)] (org.apache.kafka.raft.LeaderState)
kafka-1  | 2026-07-31T04:53:52.542306215Z [2026-07-31 04:53:52,541] INFO [controller-1-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | 2026-07-31T04:53:52.542691661Z [2026-07-31 04:53:52,542] INFO [controller-1-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | 2026-07-31T04:53:52.543256562Z [2026-07-31 04:53:52,542] INFO [controller-1-ThrottledChannelReaper-Request]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | 2026-07-31T04:53:52.543852131Z [2026-07-31 04:53:52,543] INFO [controller-1-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | 2026-07-31T04:53:52.549097441Z [2026-07-31 04:53:52,548] INFO [ExpirationReaper-1-AlterAcls]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka-1  | 2026-07-31T04:53:52.554938516Z [2026-07-31 04:53:52,554] INFO [ControllerServer id=1] Waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
kafka-1  | 2026-07-31T04:53:52.555128959Z [2026-07-31 04:53:52,554] INFO [ControllerServer id=1] Finished waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
kafka-1  | 2026-07-31T04:53:52.555452958Z [2026-07-31 04:53:52,554] INFO [MetadataLoader id=1] initializeNewPublishers: The loader is still catching up because we have loaded up to offset -1, but the high water mark is 1 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | 2026-07-31T04:53:52.555708497Z [2026-07-31 04:53:52,555] INFO [SocketServer listenerType=CONTROLLER, nodeId=1] Enabling request processing. (kafka.network.SocketServer)
kafka-1  | 2026-07-31T04:53:52.557524420Z [2026-07-31 04:53:52,557] INFO [RaftManager id=1] Registered the listener org.apache.kafka.image.loader.MetadataLoader@957698119 (org.apache.kafka.raft.KafkaRaftClient)
kafka-1  | 2026-07-31T04:53:52.557639104Z [2026-07-31 04:53:52,557] INFO [RaftManager id=1] Registered the listener org.apache.kafka.controller.QuorumController$QuorumMetaLogListener@611796974 (org.apache.kafka.raft.KafkaRaftClient)
kafka-1  | 2026-07-31T04:53:52.559103415Z [2026-07-31 04:53:52,558] INFO Awaiting socket connections on 0.0.0.0:9093. (kafka.network.DataPlaneAcceptor)
kafka-1  | 2026-07-31T04:53:52.559218920Z [2026-07-31 04:53:52,558] INFO [RaftManager id=1] Setting the next offset of org.apache.kafka.image.loader.MetadataLoader@957698119 to 0 since there are no snapshots (org.apache.kafka.raft.KafkaRaftClient)
kafka-1  | 2026-07-31T04:53:52.560483502Z [2026-07-31 04:53:52,560] INFO [RaftManager id=1] Setting the next offset of org.apache.kafka.controller.QuorumController$QuorumMetaLogListener@611796974 to 0 since there are no snapshots (org.apache.kafka.raft.KafkaRaftClient)
kafka-1  | 2026-07-31T04:53:52.561295753Z [2026-07-31 04:53:52,561] INFO [MetadataLoader id=1] maybePublishMetadata(LOG_DELTA): The loader is still catching up because we have not loaded a controller record as of offset 0 and high water mark is 1 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | 2026-07-31T04:53:52.568001810Z [2026-07-31 04:53:52,567] INFO [controller-1-to-controller-registration-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka-1  | 2026-07-31T04:53:52.568035087Z [2026-07-31 04:53:52,567] INFO [ControllerServer id=1] Waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
kafka-1  | 2026-07-31T04:53:52.568052604Z [2026-07-31 04:53:52,567] INFO [ControllerServer id=1] Finished waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
kafka-1  | 2026-07-31T04:53:52.568256077Z [2026-07-31 04:53:52,568] INFO [ControllerServer id=1] Waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
kafka-1  | 2026-07-31T04:53:52.568262450Z [2026-07-31 04:53:52,568] INFO [ControllerServer id=1] Finished waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
kafka-1  | 2026-07-31T04:53:52.568466922Z [2026-07-31 04:53:52,568] INFO [ControllerRegistrationManager id=1 incarnation=8jiX84iSSdasGVes65ERGw] initialized channel manager. (kafka.server.ControllerRegistrationManager)
kafka-1  | 2026-07-31T04:53:52.569013170Z [2026-07-31 04:53:52,568] INFO [ControllerRegistrationManager id=1 incarnation=8jiX84iSSdasGVes65ERGw] maybeSendControllerRegistration: cannot register yet because the metadata.version is still 3.0-IV1, which does not support KIP-919 controller registration. (kafka.server.ControllerRegistrationManager)
kafka-1  | 2026-07-31T04:53:52.569080825Z [2026-07-31 04:53:52,568] INFO [controller-1-to-controller-registration-channel-manager]: Recorded new KRaft controller, from now on will use node kafka:9093 (id: 1 rack: null) (kafka.server.NodeToControllerRequestThread)
kafka-1  | 2026-07-31T04:53:52.569278934Z [2026-07-31 04:53:52,569] INFO [BrokerServer id=1] Transition from SHUTDOWN to STARTING (kafka.server.BrokerServer)
kafka-1  | 2026-07-31T04:53:52.569686715Z [2026-07-31 04:53:52,569] INFO [BrokerServer id=1] Starting broker (kafka.server.BrokerServer)
kafka-1  | 2026-07-31T04:53:52.575572989Z [2026-07-31 04:53:52,575] INFO [broker-1-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | 2026-07-31T04:53:52.575865168Z [2026-07-31 04:53:52,575] INFO [broker-1-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | 2026-07-31T04:53:52.588679849Z [2026-07-31 04:53:52,588] INFO [broker-1-ThrottledChannelReaper-Request]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | 2026-07-31T04:53:52.588828373Z [2026-07-31 04:53:52,588] INFO [broker-1-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka-1  | 2026-07-31T04:53:52.595044395Z [2026-07-31 04:53:52,594] INFO [MetadataLoader id=1] maybePublishMetadata(LOG_DELTA): The loader finished catching up to the current high water mark of 5 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | 2026-07-31T04:53:52.596683062Z [2026-07-31 04:53:52,596] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing SnapshotGenerator with a snapshot at offset 4 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | 2026-07-31T04:53:52.596887802Z [2026-07-31 04:53:52,596] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing KRaftMetadataCachePublisher with a snapshot at offset 4 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | 2026-07-31T04:53:52.596898160Z [2026-07-31 04:53:52,596] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing FeaturesPublisher with a snapshot at offset 4 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | 2026-07-31T04:53:52.597176621Z [2026-07-31 04:53:52,596] INFO [ControllerServer id=1] Loaded new metadata Features(metadataVersion=3.9-IV0, finalizedFeatures={metadata.version=21}, finalizedFeaturesEpoch=4). (org.apache.kafka.metadata.publisher.FeaturesPublisher)
kafka-1  | 2026-07-31T04:53:52.597189930Z [2026-07-31 04:53:52,597] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing ControllerRegistrationsPublisher with a snapshot at offset 4 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | 2026-07-31T04:53:52.597376784Z [2026-07-31 04:53:52,597] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing ControllerRegistrationManager with a snapshot at offset 4 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | 2026-07-31T04:53:52.597680442Z [2026-07-31 04:53:52,597] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing DynamicConfigPublisher controller id=1 with a snapshot at offset 4 (org.apache.kafka.image.loader.MetadataLoader)
kafka-1  | 2026-07-31T04:53:52.599011341Z [2026-07-31 04:53:52,598] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing DynamicClientQuotaPublisher controller id=1 with a snapshot at offset 4 (org.apache.kafka.image.loader.MetadataLoader)
